DbId,DatasetName,Order,TvVariableName,TvVariableLabel,HasDependants,IsListed,IsEnabled,DefaultExported,TvVariablePath,TvTags,TvMetadataConfigUrl,TreeviewId,VisibilityGroupId,IsRenderedOnInit,DisableRendering,DisabledReason,Description,Tags
1,bng_outline,601,objectid,OBJECTID,,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
101,bng_outline,602,SHAPE__Area,SHAPE__Area,,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
201,bng_outline,603,st_perimeter(shape),st_perimeter(shape),,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
301,tiles_100_km,701,oid,OID,,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
401,tiles_100_km,702,tilename,TILENAME,,TRUE,FALSE,,,,,1,1,FALSE,FALSE,,,
501,tiles_100_km,703,SHAPE__Area,SHAPE__Area,,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
601,tiles_100_km,704,st_perimeter(shape),st_perimeter(shape),,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
701,tiles_50_km,801,oid,OID,,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
801,tiles_50_km,802,tilename,TILENAME,,TRUE,FALSE,,,,,1,1,FALSE,FALSE,,,
901,tiles_50_km,803,SHAPE__Area,SHAPE__Area,,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
1001,tiles_50_km,804,st_perimeter(shape),st_perimeter(shape),,FALSE,FALSE,,,,,1,1,FALSE,FALSE,,,
1101,tiles_20_km,901,oid,OID,,FALSE,TRUE,,,,,1,1,FALSE,FALSE,,,
1201,tiles_20_km,902,tilename,TILENAME,,TRUE,TRUE,,,,,1,1,FALSE,FALSE,,,
1301,tiles_20_km,903,SHAPE__Area,SHAPE__Area,,FALSE,TRUE,,,,,1,1,FALSE,FALSE,,,
1401,tiles_20_km,904,st_perimeter(shape),st_perimeter(shape),,FALSE,TRUE,,,,,1,1,FALSE,FALSE,,,
