DbId,WmId,WmTitle,WmLayerType,WmItemId,WmUrl,DatasetName,HasDependants,IsListed,IsEnabled,TvType,TvPath,Order,MetadataId,MetadataUrl,TreeviewId,VisibilityGroupId,IsOpenOnInit,IsVisibleOnInit,DisableVisibility,AlternativeTitle,MetadataTabInfoUrl
1,11ce6f0462bb4d85876c86392a62c60c,BNG Outline,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/230,,,TRUE,FALSE,VectorDataset,/Tiling Schemes,0,,,area,1,FALSE,FALSE,FALSE,,
101,e5490860f2524b25bc97b4f6889d00a8,Tiles 100 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/231,,,TRUE,FALSE,VectorDataset,/Tiling Schemes,0,,,area,1,FALSE,FALSE,FALSE,,
201,150d132868d34501bbebe3900cb2f972,Tiles 50 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/232,,,TRUE,FALSE,VectorDataset,/Tiling Schemes,0,,,area,1,FALSE,FALSE,FALSE,,
301,d3b8bd8921f445b38605c9e1eb1a653f,Tiles 20 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/233,,,TRUE,TRUE,VectorDataset,/Tiling Schemes,0,,,area,1,FALSE,FALSE,FALSE,,
401,561625be6b7b40f38e208332094de823,Tiles 10 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/234,,,TRUE,TRUE,VectorDataset,/Tiling Schemes,0,,,area,1,FALSE,FALSE,FALSE,,
501,d982df779ff24651950a9e5db51d59c1,Tiles 5 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/235,,,TRUE,TRUE,VectorDataset,/Tiling Schemes,0,,,area,1,FALSE,FALSE,FALSE,,
601,1b956b17dc014bcdb91cbe74217df309,Tiles 1 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/236,,,TRUE,TRUE,VectorDataset,/Tiling Schemes,0,,,area,1,FALSE,FALSE,FALSE,,
701,5a87f10cbdd54ab4acaf1842c2220aea,UPRN (05/2024),ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/10,,,TRUE,FALSE,VectorDataset,/,0,,,data,3,FALSE,TRUE,FALSE,,
801,3204a583d5ac4ad2ab640330f48dc3a5,Upper Tier Local Authorities (Dec 22) - UK Boundaries Fully Clipped,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/208,,,TRUE,FALSE,VectorDataset,/Administrative Areas,0,,,area,1,FALSE,FALSE,FALSE,,
901,edbd54d7848e434f98cbf8e215e2f635,Counties and Unitary Authorities (Dec 23) - UK Boundaries Fully Clipped,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/173,,,TRUE,FALSE,VectorDataset,/Administrative Areas,0,,,area,1,FALSE,FALSE,FALSE,,
