DbId,DatasetId,WmId,WmTitle,WmLayerType,WmItemId,WmUrl,DatasetName,TvType,TvPath,Order,VariableName,VariableLabel,HasDependants,IsListed,IsEnabled,DefaultExported,TvFieldPath,TvTags,TvMetadataUrl,TreeviewId,VisibilityGroupId
1,,11ce6f0462bb4d85876c86392a62c60c,BNG Outline,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/230,,VectorDataset,/Tiling Schemes,0,objectid,OBJECTID,,False,False,,,,,area,1
101,,11ce6f0462bb4d85876c86392a62c60c,BNG Outline,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/230,,VectorDataset,/Tiling Schemes,0,SHAPE__Area,SHAPE__Area,,False,False,,,,,area,1
201,,11ce6f0462bb4d85876c86392a62c60c,BNG Outline,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/230,,VectorDataset,/Tiling Schemes,0,st_perimeter(shape),st_perimeter(shape),,False,False,,,,,area,1
301,,e5490860f2524b25bc97b4f6889d00a8,Tiles 100 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/231,,VectorDataset,/Tiling Schemes,0,oid,OID,,False,False,,,,,area,1
401,,e5490860f2524b25bc97b4f6889d00a8,Tiles 100 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/231,,VectorDataset,/Tiling Schemes,0,tilename,TILENAME,,True,False,,,,,area,1
501,,e5490860f2524b25bc97b4f6889d00a8,Tiles 100 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/231,,VectorDataset,/Tiling Schemes,0,SHAPE__Area,SHAPE__Area,,False,False,,,,,area,1
601,,e5490860f2524b25bc97b4f6889d00a8,Tiles 100 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/231,,VectorDataset,/Tiling Schemes,0,st_perimeter(shape),st_perimeter(shape),,False,False,,,,,area,1
701,,150d132868d34501bbebe3900cb2f972,Tiles 50 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/232,,VectorDataset,/Tiling Schemes,0,oid,OID,,False,False,,,,,area,1
801,,150d132868d34501bbebe3900cb2f972,Tiles 50 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/232,,VectorDataset,/Tiling Schemes,0,tilename,TILENAME,,True,False,,,,,area,1
901,,150d132868d34501bbebe3900cb2f972,Tiles 50 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/232,,VectorDataset,/Tiling Schemes,0,SHAPE__Area,SHAPE__Area,,False,False,,,,,area,1
1001,,150d132868d34501bbebe3900cb2f972,Tiles 50 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/232,,VectorDataset,/Tiling Schemes,0,st_perimeter(shape),st_perimeter(shape),,False,False,,,,,area,1
1101,,d3b8bd8921f445b38605c9e1eb1a653f,Tiles 20 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/233,,VectorDataset,/Tiling Schemes,0,oid,OID,,False,True,,,,,area,1
1201,,d3b8bd8921f445b38605c9e1eb1a653f,Tiles 20 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/233,,VectorDataset,/Tiling Schemes,0,tilename,TILENAME,,True,True,,,,,area,1
1301,,d3b8bd8921f445b38605c9e1eb1a653f,Tiles 20 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/233,,VectorDataset,/Tiling Schemes,0,SHAPE__Area,SHAPE__Area,,False,True,,,,,area,1
1401,,d3b8bd8921f445b38605c9e1eb1a653f,Tiles 20 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/233,,VectorDataset,/Tiling Schemes,0,st_perimeter(shape),st_perimeter(shape),,False,True,,,,,area,1
1501,,561625be6b7b40f38e208332094de823,Tiles 10 km,ArcGISFeatureLayer,71c9876f8b4546889de4f4a5899b50d6,https://nercdsh.dev.azure.manchester.ac.uk/server/rest/services/UPRN_PoC_Web_Layer_UK_v1/FeatureServer/234,,VectorDataset,/Tiling Schemes,0,oid,OID,,False,True,,,,,area,1
